r,phi[0],phi[1]
5.05E+18,7.28888,34788.5
6.31E+18,7.28923,34770.3
7.57E+18,7.28647,34747.3
8.84E+18,7.2835,34719
1.01E+19,7.27983,34684.6
1.14E+19,7.27546,34643.5
1.26E+19,7.27028,34594.9
1.39E+19,7.26419,34537.8
1.51E+19,7.25708,34471
1.64E+19,7.24882,34393.5
1.77E+19,7.23927,34303.9
1.89E+19,7.22827,34200.7
2.02E+19,7.21564,34082.4
2.15E+19,7.20122,33947.2
2.27E+19,7.18479,33793.4
2.40E+19,7.16616,33619.1
2.52E+19,7.1451,33422.3
2.65E+19,7.12139,33200.9
2.78E+19,7.09479,32953
2.90E+19,7.06505,32676.3
3.03E+19,7.03192,32368.9
3.16E+19,6.99516,32028.7
3.28E+19,6.9545,31653.9
3.41E+19,6.9097,31242.6
3.53E+19,6.86053,30793.4
3.66E+19,6.80675,30304.8
3.79E+19,6.74817,29775.8
3.91E+19,6.68462,29205.6
4.04E+19,6.61595,28593.8
4.17E+19,6.54208,27940.6
4.29E+19,6.46294,27246.2
4.42E+19,6.37853,26511.7
4.54E+19,6.28889,25738.4
4.67E+19,6.19409,24928.1
4.80E+19,6.09426,24083.2
4.92E+19,5.98961,23206.6
5.05E+19,5.88035,22301.5
5.18E+19,5.7668,21371.7
5.30E+19,5.64929,20421.1
5.43E+19,5.5282,19454.3
5.55E+19,5.40395,18475.8
5.68E+19,5.277,17490.6
5.81E+19,5.14782,16503.6
5.93E+19,5.01691,15519.8
6.06E+19,4.88481,14544.4
6.19E+19,4.7521,13582.1
6.31E+19,4.61937,12637.7
6.44E+19,4.48726,11715.7
6.56E+19,4.35638,10820.2
6.69E+19,4.22736,9954.89
6.82E+19,4.10081,9123.2
6.94E+19,3.97728,8327.96
7.07E+19,3.85733,7571.57
7.20E+19,3.74145,6855.89
7.32E+19,3.63009,6182.29
7.45E+19,3.52365,5551.63
7.57E+19,3.42249,4964.28
7.70E+19,3.32688,4420.15
7.83E+19,3.23705,3918.72
7.95E+19,3.15315,3459.08
8.08E+19,3.07526,3039.98
8.21E+19,3.00339,2659.85
8.33E+19,2.9375,2316.9
8.46E+19,2.87746,2009.13
8.58E+19,2.82311,1734.38
8.71E+19,2.77421,1490.42
8.84E+19,2.73051,1274.94
8.96E+19,2.69169,1085.62
9.09E+19,2.65744,920.161
9.22E+19,2.6274,776.32
9.34E+19,2.60122,651.932
9.47E+19,2.57854,544.932
9.59E+19,2.55903,453.372
9.72E+19,2.54233,375.437
9.85E+19,2.52813,309.447
9.97E+19,2.51612,253.862
1.01E+20,2.50603,207.286
1.02E+20,2.49759,168.461
1.04E+20,2.49058,136.266
1.05E+20,2.48478,109.705
1.06E+20,2.48002,87.9052
1.07E+20,2.47612,70.103
1.09E+20,2.47295,55.6381
1.10E+20,2.47039,43.9424
1.11E+20,2.46832,34.5302
1.12E+20,2.46667,26.9895
1.14E+20,2.46535,20.9722
1.15E+20,2.46429,16.1863
1.16E+20,2.46346,12.3879
1.17E+20,2.4628,9.37363
1.19E+20,2.46227,6.9746
1.20E+20,2.46185,5.05021
1.21E+20,2.4615,3.48298
1.22E+20,2.46121,2.17377
1.24E+20,2.46096,1.03763
1.25E+20,2.46073,0